Date,Volume,Name
2020-09-09,176.9405,AAPL
2020-09-08,231.3666,AAPL
2020-09-04,332.6072,AAPL
2020-09-03,257.5996,AAPL
2020-09-02,200.119,AAPL
2020-09-01,152.4701,AAPL
2020-08-31,225.7027,AAPL
2020-08-28,187.62992,AAPL
2020-08-27,155.5524,AAPL
2020-08-26,163.02228,AAPL
2020-08-25,211.4958,AAPL
2020-08-24,345.93776,AAPL
2020-08-21,338.05464,AAPL
2020-08-20,126.9072,AAPL
2020-08-19,145.538,AAPL
2020-08-18,105.63356,AAPL
2020-08-17,119.56144,AAPL
2020-08-14,165.5652,AAPL
2020-08-13,210.08208,AAPL
2020-08-12,165.94484,AAPL
2020-08-11,187.90236,AAPL
2020-08-10,212.40344,AAPL
2020-08-07,198.0456,AAPL
2020-08-06,202.42892,AAPL
2020-08-05,121.99196,AAPL
2020-08-04,172.79236,AAPL
2020-08-03,308.1514,AAPL
2020-07-31,374.29548,AAPL
2020-07-30,158.13004,AAPL
2020-07-29,90.32924,AAPL
2020-07-28,103.62552,AAPL
2020-07-27,121.2142,AAPL
2020-07-24,185.43888,AAPL
2020-07-23,197.00444,AAPL
2020-07-22,89.00164,AAPL
2020-07-21,103.64584,AAPL
2020-07-20,90.31792,AAPL
2020-07-17,92.18692,AAPL
2020-07-16,110.57768,AAPL
2020-07-15,153.19792,AAPL
2020-07-14,170.98936,AAPL
2020-07-13,191.64916,AAPL
2020-07-10,90.25732,AAPL
2020-07-09,125.6426,AAPL
2020-07-08,117.09188,AAPL
2020-07-07,112.42444,AAPL
2020-07-06,118.65564,AAPL
2020-07-02,114.04148,AAPL
2020-07-01,110.73724,AAPL
2020-06-30,140.22328,AAPL
2020-06-29,130.64608,AAPL
2020-06-26,205.25684,AAPL
2020-06-25,137.52252,AAPL
2020-06-24,192.6234,AAPL
2020-06-23,212.15548,AAPL
2020-06-22,135.44528,AAPL
2020-06-19,264.4758,AAPL
2020-06-18,96.8204,AAPL
2020-06-17,114.40652,AAPL
2020-06-16,165.42872,AAPL
2020-06-15,138.80892,AAPL
2020-06-12,200.14604,AAPL
2020-06-11,201.66244,AAPL
2020-06-10,166.65176,AAPL
2020-06-09,147.71236,AAPL
2020-06-08,95.65452,AAPL
2020-06-05,137.2502,AAPL
2020-06-04,87.56036,AAPL
2020-06-03,104.4912,AAPL
2020-06-02,87.6428,AAPL
2020-06-01,81.0186,AAPL
2020-05-29,153.59812,AAPL
2020-05-28,133.7964,AAPL
2020-05-27,112.94508,AAPL
2020-05-26,125.5218,AAPL
2020-05-22,81.803,AAPL
2020-05-21,102.68884,AAPL
2020-05-20,111.50488,AAPL
2020-05-19,101.72956,AAPL
2020-05-18,135.37252,AAPL
2020-05-15,166.34836,AAPL
2020-05-14,158.92908,AAPL
2020-05-13,200.62256,AAPL
2020-05-12,162.30104,AAPL
2020-05-11,145.94624,AAPL
2020-05-08,134.04796,AAPL
2020-05-07,115.21504,AAPL
2020-05-06,142.33376,AAPL
2020-05-05,147.7512,AAPL
2020-05-04,133.56796,AAPL
2020-05-01,240.61672,AAPL
2020-04-30,183.06388,AAPL
2020-04-29,137.2808,AAPL
2020-04-28,112.00476,AAPL
2020-04-27,117.08756,AAPL
2020-04-24,126.50872,AAPL
2020-04-23,124.81432,AAPL
2020-04-22,117.05736,AAPL
2020-04-21,180.99156,AAPL
2020-04-20,130.015,AAPL
2020-04-17,215.24992,AAPL
2020-04-16,157.12516,AAPL
2020-04-15,131.15456,AAPL
2020-04-14,194.99468,AAPL
2020-04-13,131.02292,AAPL
2020-04-09,162.11648,AAPL
2020-04-08,168.89528,AAPL
2020-04-07,202.88732,AAPL
2020-04-06,201.82028,AAPL
2020-04-03,129.88008,AAPL
2020-04-02,165.93396,AAPL
2020-04-01,176.21856,AAPL
2020-03-31,197.002,AAPL
2020-03-30,167.97644,AAPL
2020-03-27,204.2166,AAPL
2020-03-26,252.56068,AAPL
2020-03-25,303.60204,AAPL
2020-03-24,287.53108,AAPL
2020-03-23,336.75284,AAPL
2020-03-20,401.6932,AAPL
2020-03-19,271.85704,AAPL
2020-03-18,300.23364,AAPL
2020-03-17,324.05588,AAPL
2020-03-16,322.42348,AAPL
2020-03-13,370.73212,AAPL
2020-03-12,418.474,AAPL
2020-03-11,256.37988,AAPL
2020-03-10,285.29008,AAPL
2020-03-09,286.74484,AAPL
2020-03-06,226.177,AAPL
2020-03-05,187.57288,AAPL
2020-03-04,219.17828,AAPL
2020-03-03,319.4754,AAPL
2020-03-02,341.39736,AAPL
2020-02-28,426.8848,AAPL
2020-02-27,320.60552,AAPL
2020-02-26,198.71372,AAPL
2020-02-25,230.67344,AAPL
2020-02-24,222.19532,AAPL
